Generator,Generator Type,Region,"ISP 
sub-region",REZ Location,Fuel/Technology type,Maximum Capacity (MW),2023-34 Summer Rating (MW),2024 Not Summer Rating (MW),Maintenance duration (%),Maximum Capacity Factor (%),FOM ($/kW/annum),VOM ($/MWh sent-out),Heat Rate (GJ/MWh HHV s.o.),2023-24 Step Change Fuel Cost ($/GJ),Emissions (kg/MWh),MLF,Auxiliary Load (%),SRMC ($/MWh),Expected Retirement Year
Snowtown S2 Wind Farm - South,Wind,SA,SA,Mid-North SA,Wind,126,117,126,0,N/A,25.92,0,,,,0.97,0.28,,2039
Starfish Hill Wind Farm,Wind,SA,SA,N/A,Wind,33,33,33,0,N/A,25.92,0,,,,1.01,0.28,,2027
Waterloo Wind Farm,Wind,SA,SA,Mid-North SA,Wind,131,40,131,0,N/A,25.92,0,,,,0.96,0.28,,2045
Wattle Point Wind Farm,Wind,SA,SA,Yorke Peninsula,Wind,91,0,111,0,N/A,25.92,0,,,,0.81,0.28,,2029
Willogoleche Wind Farm,Wind,SA,SA,Mid-North SA,Wind,119,0,119,0,N/A,25.92,0,,,,0.96,0.28,,2043
Cattle Hill Wind Farm,Wind,TAS,TAS,Central Highlands,Wind,144,144,144,0,N/A,25.92,0,,,,0.98,0.28,,2044
Granville Harbour Wind Farm,Wind,TAS,TAS,North West Tasmania,Wind,112,112,112,0,N/A,25.92,0,,,,0.93,0.28,,2055
Musselroe Wind Farm,Wind,TAS,TAS,North East Tasmania,Wind,168,168,168,0,N/A,25.92,0,,,,0.9,0.28,,2050
Woolnorth Wind Farm,Wind,TAS,TAS,North West Tasmania,Wind,140,140,140,0,N/A,25.92,0,,,,0.88,0.28,,2050
Ararat Wind Farm,Wind,VIC,VIC,Western Victoria,Wind,240,75,240,0,N/A,25.92,0,,,,0.9,0.28,,2047
Bald Hills Wind Farm,Wind,VIC,VIC,N/A,Wind,107,107,107,0,N/A,25.92,0,,,,0.99,0.28,,2040
Bulgana Green Power Hub - Wind Farm,Wind,VIC,VIC,Western Victoria,Wind,204,204,204,0,N/A,25.92,0,,,,0.89,0.28,,2049
Challicum Hills Wind Farm,Wind,VIC,VIC,Western Victoria,Wind,53,53,53,0,N/A,25.92,0,,,,0.97,0.28,,2033
Cherry Tree Wind Farm,Wind,VIC,VIC,N/A,Wind,58,58,58,0,N/A,25.92,0,,,,1,0.28,,2050
Crowlands Wind Farm,Wind,VIC,VIC,Western Victoria,Wind,80,80,80,0,N/A,25.92,0,,,,0.9,0.28,,2049
Dundonnell Wind Farm,Wind,VIC,VIC,South West Victoria,Wind,336,216,336,0,N/A,25.92,0,,,,0.98,0.28,,2045
Elaine Wind Farm,Wind,VIC,VIC,Western Victoria,Wind,84,84,84,0,N/A,25.92,0,,,,0.95,0.28,,2049
Kiata Wind Farm,Wind,VIC,VIC,Western Victoria,Wind,31,27,31,0,N/A,25.92,0,,,,0.9,0.28,,2042
Macarthur Wind Farm,Wind,VIC,VIC,South West Victoria,Wind,420,420,420,0,N/A,25.92,0,,,,0.98,0.28,,2038
Moorabool Wind Farm,Wind,VIC,VIC,Western Victoria,Wind,312,312,312,0,N/A,25.92,0,,,,0.95,0.28,,2044
Mortons Lane Wind Farm,Wind,VIC,VIC,South West Victoria,Wind,20,20,20,0,N/A,25.92,0,,,,1,0.28,,2042
Mt Gellibrand Wind Farm,Wind,VIC,VIC,South West Victoria,Wind,139,0,132,0,N/A,25.92,0,,,,0.99,0.28,,2043
Mt Mercer Wind Farm,Wind,VIC,VIC,Western Victoria,Wind,131,0,131,0,N/A,25.92,0,,,,0.95,0.28,,2043
Murra Warra Wind Farm - stage 1,Wind,VIC,VIC,Western Victoria,Wind,226,226,226,0,N/A,25.92,0,,,,0.89,0.28,,2049
Oaklands Hill Wind Farm,Wind,VIC,VIC,South West Victoria,Wind,67,41,63,0,N/A,25.92,0,,,,1,0.28,,2037
Portland Wind Farm,Wind,VIC,VIC,South West Victoria,Wind,152,92,92,0,N/A,25.92,0,,,,0.99,0.28,,2040
Salt Creek Wind Farm,Wind,VIC,VIC,South West Victoria,Wind,54,38,54,0,N/A,25.92,0,,,,0.95,0.28,,2043
Waubra Wind Farm,Wind,VIC,VIC,Western Victoria,Wind,192,192,192,0,N/A,25.92,0,,,,0.92,0.28,,2034
Yambuk Wind Farm,Wind,VIC,VIC,South West Victoria,Wind,30,30,30,0,N/A,25.92,0,,,,1,0.28,,2040
Yaloak South Wind Farm,Wind,VIC,VIC,Western Victoria,Wind,29,29,29,0,N/A,25.92,0,,,,0.97,0.28,,2048
Yendon Wind Farm,Wind,VIC,VIC,Western Victoria,Wind,144,144,144,0,N/A,25.92,0,,,,0.94,0.28,,2049
Berrybank Wind Farm,Wind,VIC,VIC,South West Victoria,Wind,181,0,0,0,N/A,25.92,0,,,,0.94,0.28,,2050
Gullen Range Wind Farm 2 ,Wind,NSW,SNSW,N/A,Wind,111,0,0,0,N/A,25.92,0,,,,0.96,0.28,,2120
Jemalong Solar,Large scale Solar PV,NSW,CNSW,N/A,Solar,55,0,0,0,N/A,17.61,0,,,,0.9,0.2,,2050
Maryrorough Solar Farm,Large scale Solar PV,QLD,SQ,Darling Downs,Solar,35,0,0,0,N/A,17.61,0,,,,0.98,0.2,,2048
Stockyard Hill Wind Farm,Wind,VIC,VIC,South West Victoria,Wind,528,0,0,0,N/A,25.92,0,,,,0.97,0.28,,2045
Wellington Solar Farm,Large scale Solar PV,NSW,CNSW,Central-West Orana,Solar,211,0,0,0,N/A,17.61,0,,,,0.94,0.2,,2051
Winton Solar Farm,Large scale Solar PV,VIC,VIC,Central North Vic,Solar,85,0,0,0,N/A,17.61,0,,,,1,0.2,,2051
Kurri Kurri ,OCGT,NSW,SNW,N/A,OCGT,750,750,750,1.37,N/A,10.57,2.49,10.93,11.8,575,0.99,0.72,131.52,2063
Snapper Point Power Station*,OCGT,SA,SA,N/A,Liquid Fuel,154,123,147,1.37,N/A,13.06,4.25,10.19,12.12,532,1,0.64,127.71,2046
Kidston ,Pumped Hydro,QLD,CNQ,N/A,Hydro,250,0,0,0.27,N/A,61.14,7.55,,,,1,0.34,7.55,2105
Snowy 2.0,Pumped Hydro,NSW,SNSW,N/A,Hydro,"2,040",0,0,0.27,N/A,61.14,7.55,,,,0.92,0.34,7.55,2076
Corowa Solar Farm,Large scale Solar PV,NSW,SNSW,South West NSW,Solar,36,30,30,0,N/A,17.61,0,,,,0.88,0.2,,2051
Gunnedah Solar Farm,Large scale Solar PV,NSW,NNSW,North West NSW,Solar,110,110,110,0,N/A,17.61,0,,,,0.89,0.2,,2056
Junee Solar Farm,Large scale Solar PV,NSW,SNSW,Wagga Wagga,Solar,36,30,30,0,N/A,17.61,0,,,,0.89,0.2,,2050
Metz Solar Farm,Large scale Solar PV,NSW,NNSW,New England,Solar,135,107,115,0,N/A,17.61,0,,,,0.87,0.2,,2052
New England Solar Farm,Large scale Solar PV,NSW,NNSW,New England,Solar,400,400,400,0,N/A,17.61,0,,,,0.87,0.2,,2052
Riverina Solar Farm,Large scale Solar PV,NSW,SNSW,N/A,Solar,32,32,32,0,N/A,17.61,0,,,,0.85,0.2,,2046
Sebastopol Solar Farm,Large scale Solar PV,NSW,SNSW,Wagga Wagga,Solar,90,84,90,0,N/A,17.61,0,,,,0.96,0.2,,2052
Suntop Solar Farm,Large scale Solar PV,NSW,CNSW,Central-West Orana,Solar,150,150,150,0,N/A,17.61,0,,,,0.99,0.2,,2056
Wagga North Solar Farm,Large scale Solar PV,NSW,SNSW,Wagga Wagga,Solar,36,46,46,0,N/A,17.61,0,,,,0.89,0.2,,2050
Bluegrass Solar Farm,Large scale Solar PV,QLD,SQ,Darling Downs,Solar,148,148,148,0,N/A,17.61,0,,,,0.98,0.2,,2057
Columboola Solar Farm,Large scale Solar PV,QLD,SQ,Darling Downs,Solar,217,160,162,0,N/A,17.61,0,,,,0.98,0.2,,2046
Gangarri Solar Farm,Large scale Solar PV,QLD,SQ,Darling Downs,Solar,162,120,120,0,N/A,17.61,0,,,,0.98,0.2,,2051
Kennedy Energy Park Solar Farm*,Large scale Solar PV,QLD,CNQ,North Qld Clean Energy Hub,Solar,15,15,15,0,N/A,17.61,0,,,,0.94,0.2,,2046
Warwick Solar Farm - stage 1,Large scale Solar PV,QLD,SQ,Darling Downs,Solar,32,32,32,0,N/A,17.61,0,,,,0.98,0.2,,2046
Warwick Solar Farm - stage 2,Large scale Solar PV,QLD,SQ,Darling Downs,Solar,32,32,32,0,N/A,17.61,0,,,,0.98,0.2,,2045
Western Downs Green Power Hub,Large scale Solar PV,QLD,SQ,Darling Downs,Solar,400,394,400,0,N/A,17.61,0,,,,0.98,0.2,,2047
Woolooga Solar Farm,Large scale Solar PV,QLD,SQ,Wide Bay,Solar,223,158,176,0,N/A,17.61,0,,,,0.98,0.2,,2047
Adelaide Desalination Plant*,Large scale Solar PV,SA,SA,N/A,Solar,11,10,11,0,N/A,17.61,0,,,,1.9,0.2,,2041
Morgan To Whyalla Pipeline No 1 PS And Water Filtration Plant,Large scale Solar PV,SA,SA,Riverland,Solar,6,6,6,0,N/A,17.61,0,,,,1.03,0.2,,2031
Morgan To Whyalla Pipeline No 2 PS,Large scale Solar PV,SA,SA,Riverland,Solar,6,6,6,0,N/A,17.61,0,,,,0.97,0.2,,2041
Morgan To Whyalla Pipeline No 3 PS,Large scale Solar PV,SA,SA,Riverland,Solar,7,7,7,0,N/A,17.61,0,,,,0.97,0.2,,2045
Morgan To Whyalla Pipeline No 4 PS,Large scale Solar PV,SA,SA,Riverland,Solar,6,6,6,0,N/A,17.61,0,,,,0.98,0.2,,2041
Cohuna Solar Farm,Large scale Solar PV,VIC,VIC,Murray River,Solar,31,27,27,0,N/A,17.61,0,,,,0.91,0.2,,2045
Bango 999 Wind Farm,Wind,NSW,SNSW,N/A,Wind,85,0,85,0,N/A,25.92,0,,,,0.96,0.28,,2050
Kaban Green Power Hub - Wind Farm*,Wind,QLD,CNQ,Far North QLD,Wind,150,120,150,0,N/A,25.92,0,,,,0.98,0.28,,2048
Kennedy Energy Park Wind Farm*,Wind,QLD,CNQ,North Qld Clean Energy Hub,Wind,43,36,43,0,N/A,25.92,0,,,,0.94,0.28,,2045
Lincoln Gap Wind Farm - stage 2,Wind,SA,SA,Northern SA,Wind,86,86,86,0,N/A,25.92,0,,,,0.97,0.28,,2045
Murra Warra Wind Farm - stage 2,Wind,VIC,VIC,Western Victoria,Wind,209,179,198,0,N/A,25.92,0,,,,0.89,0.28,,2052
Adelaide Desalination Plant,Large scale Solar PV,SA,SA,N/A,Solar,14,10,11,0,N/A,17.61,0,,,,0.95,0.2,,2041
Bolivar Waste Water Treatment,Large scale Solar PV,SA,SA,N/A,Solar,11,11,11,0,N/A,17.61,0,,,,1,0.2,,2053
Edenvale Solar Park,Large scale Solar PV,QLD,SQ,Darling Downs,Solar,146,146,146,0,N/A,17.61,0,,,,0.98,0.2,,2053
Hillston Sun Farm,Large scale Solar PV,NSW,SNSW,South West NSW,Solar,85,77,85,0,N/A,17.61,0,,,,0.98,0.2,,2052
Mannum Adelaide Pumping Station No 2 - MAPL2 (Palmer),Large scale Solar PV,SA,SA,South East SA,Solar,17,16,17,0,N/A,17.61,0,,,,1.01,0.2,,2041
Mannum Adelaide Pumping Station No 3 - MAPL3 (Kanmantoo),Large scale Solar PV,SA,SA,South East SA,Solar,17,16,17,0,N/A,17.61,0,,,,1.01,0.2,,2041
Moura Solar Farm,Large scale Solar PV,QLD,CNQ,Fitzroy,Solar,99,82,82,0,N/A,17.61,0,,,,0.93,0.2,,2057
Murray Bridge - Onkaparinga Pipeline Pump 2,Large scale Solar PV,SA,SA,South East SA,Solar,14,13,14,0,N/A,17.61,0,,,,1.01,0.2,,2041
Port Augusta Renewable Energy Park - Solar,Large scale Solar PV,SA,SA,Northern SA,Solar,79,79,79,0,N/A,17.61,0,,,,0.96,0.2,,2047
Port Augusta Renewable Energy Park - Wind,Wind,SA,SA,Northern SA,Wind,210,210,210,0,N/A,25.92,0,,,,0.97,0.28,,2052
Wyalong Solar Farm,Large scale Solar PV,NSW,SNSW,N/A,Solar,62,53,53,0,N/A,17.61,0,,,,0.89,0.2,,2058
Avonlie Solar Farm,Large scale Solar PV,NSW,SNSW,Wagga Wagga,Solar,254,190,190,0,N/A,17.61,0,,,,0.89,0.2,,2058
Dulacca Wind Farm,Wind,QLD,SQ,Darling Downs,Wind,173,103,173,0,N/A,25.92,0,,,,0.97,0.28,,2053
Rye Park Wind Farm,Wind,NSW,SNSW,N/A,Wind,396,225,386,0,N/A,25.92,0,,,,0.91,0.28,,2048
Tallawarra B,OCGT,NSW,SNW,N/A,OCGT,316,314,316,1.37,N/A,10.57,2.49,10.93,11.8,575,0.99,0.72,131.52,2063
West Wyalong Solar Farm,Large scale Solar PV,NSW,SNSW,N/A,Solar,105,90,90,0,N/A,17.61,0,,,,0.89,0.2,,2047
Wollar Solar Farm,Large scale Solar PV,NSW,CNSW,N/A,Solar,280,280,280,0,N/A,17.61,0,,,,0.92,0.2,,2053
Aramara Solar Farm,Large scale Solar PV,QLD,SQ,Wide Bay,Solar,101,101,101,0,N/A,17.61,0,,,,0.98,0.2,,2053
Munna Creek Solar Farm,Large scale Solar PV,QLD,SQ,Wide Bay,Solar,154,154,154,0,N/A,17.61,0,,,,0.98,0.2,,2053
Rodds Bay Solar Farm,Large scale Solar PV,QLD,CNQ,Fitzroy,Solar,303,245,250,0,N/A,17.61,0,,,,0.93,0.2,,2053
Christies Beach Wastewater Treatment Plant,Large scale Solar PV,SA,SA,N/A,Solar,5,5,5,0,N/A,17.61,0,,,,1.01,0.2,,2053
Happy Valley Reservoir,Large scale Solar PV,SA,SA,N/A,Solar,8,8,8,0,N/A,17.61,0,,,,1.01,0.2,,2053
Mortlake South Wind Farm,Wind,VIC,VIC,South West Victoria,Wind,158,158,158,0,N/A,25.92,0,,,,0.9,0.28,,2053
Macintyre Wind Farm,Wind,QLD,SQ,Darling Downs,Wind,300,300,300,0,N/A,25.92,0,,,,0.97,0.28,,2053
Quorn Park Solar Farm,Large scale Solar PV,NSW,CNSW,N/A,Solar,80,80,80,0,N/A,17.61,0,,,,0.89,0.2,,2053
Walla Walla Solar Farm,Large scale Solar PV,NSW,SNSW,N/A,Solar,380,299,299,0,N/A,17.61,0,,,,0.89,0.2,,2053
Wunghnu Solar Farm,Large scale Solar PV,VIC,VIC,N/A,Solar,75,75,75,0,N/A,17.61,0,,,,1,0.2,,2053
Yanco Solar Farm,Large scale Solar PV,NSW,SNSW,N/A,Solar,60,60,60,0,N/A,17.61,0,,,,0.89,0.2,,2053
Wallgrove Grid Battery project,Battery Storage,NSW,SNW,N/A,N/A,50,50,50,0,N/A,10.69,0,,,,1,,,2036
Wandoan South BESS,Battery Storage,QLD,SQ,N/A,N/A,100,100,100,0,N/A,10.69,0,,,,0.98,,,2051
Adelaide Desalination Plant BESS,Battery Storage,SA,SA,N/A,N/A,6,0,6,0,N/A,10.69,0,,,,1,,,2043
Bolivar Waste Water Treatment BESS,Battery Storage,SA,SA,N/A,N/A,2,2,2,0,N/A,10.69,0,,,,1,,,2043
Christies Beach Wastewater Treatment Plant BESS,Battery Storage,SA,SA,N/A,N/A,2,2,2,0,N/A,10.69,0,,,,1,,,2043
Dalrymple North BESS,Battery Storage,SA,SA,N/A,N/A,30,30,30,0,N/A,6.6,0,,,,0.92,,,2030
Happy Valley Reservoir BESS,Battery Storage,SA,SA,N/A,N/A,4,4,4,0,N/A,10.69,0,,,,1,,,2043
Hornsdale Power Reserve Unit 1,Battery Storage,SA,SA,N/A,N/A,150,150,150,0,N/A,6.6,0,,,,0.98,,,2057
Lake Bonney BESS1,Battery Storage,SA,SA,N/A,N/A,25,25,25,0,N/A,10.69,0,,,,1,,,2034
Lincoln Gap Wind Farm - BESS,Battery Storage,SA,SA,N/A,N/A,10,10,10,0,N/A,6.6,0,,,,0.97,,,2045
Torrens Island BESS,Battery Storage,SA,SA,N/A,N/A,250,250,250,0,N/A,6.6,0,,,,1,,,2043
Ballarat Energy Storage System,Battery Storage,VIC,VIC,N/A,N/A,30,29,30,0,N/A,6.6,0,,,,0.92,,,2033
Bulgana Green Power Hub - BESS,Battery Storage,VIC,VIC,N/A,N/A,20,20,20,0,N/A,10.69,0,,,,0.92,,,2041
Gannawarra Energy Storage System,Battery Storage,VIC,VIC,N/A,N/A,25,25,25,0,N/A,10.69,0,,,,0.98,,,2033
Victorian Big Battery,Battery Storage,VIC,VIC,N/A,N/A,300,50,300,0,N/A,10.69,0,,,,1,,,2041
